# Region type : patch cOutlet
# Faces  :     1744
# Area   :     4.2541269e-05
# Time         	sum(phi)
0.088          	6.6933212e-04
0.0880001      	6.6903628e-04
0.0880005      	6.6799273e-04
0.0880009      	6.6745057e-04
0.0880013      	6.6736028e-04
0.0880016      	6.6766562e-04
0.088002       	6.6830715e-04
0.0880024      	6.6920335e-04
0.0880028      	6.7026306e-04
0.0880032      	6.7139826e-04
0.0880035      	6.7251541e-04
0.0880039      	6.7352385e-04
0.0880043      	6.7434570e-04
0.0880047      	6.7493034e-04
0.0880051      	6.7525632e-04
0.0880055      	6.7533634e-04
0.0880058      	6.7518857e-04
0.0880062      	6.7483980e-04
0.0880066      	6.7431633e-04
0.088007       	6.7363730e-04
0.0880074      	6.7283177e-04
0.0880077      	6.7194149e-04
0.0880081      	6.7104255e-04
0.0880085      	6.7024863e-04
0.0880089      	6.6969789e-04
0.0880093      	6.6954274e-04
0.0880096      	6.6991465e-04
0.08801        	6.7085462e-04
0.0880104      	6.7230856e-04
0.0880108      	6.7417076e-04
0.0880112      	6.7638686e-04
0.0880115      	6.7896452e-04
0.0880119      	6.8192475e-04
0.0880123      	6.8527549e-04
0.0880127      	6.8898568e-04
0.0880131      	6.9293354e-04
0.0880134      	6.9687180e-04
0.0880138      	7.0050202e-04
0.0880142      	7.0358551e-04
0.0880146      	7.0598656e-04
0.088015       	7.0769385e-04
0.0880154      	7.0879650e-04
0.0880157      	7.0936298e-04
0.0880161      	7.0943747e-04
0.0880165      	7.0901005e-04
0.0880169      	7.0804102e-04
0.0880173      	7.0649984e-04
0.0880176      	7.0439681e-04
0.088018       	7.0178862e-04
0.0880184      	6.9875779e-04
0.0880188      	6.9541205e-04
0.0880192      	6.9187163e-04
0.0880195      	6.8824863e-04
0.0880199      	6.8463121e-04
0.0880203      	6.8105479e-04
0.0880207      	6.7756162e-04
0.0880211      	6.7421367e-04
0.0880214      	6.7110684e-04
0.0880218      	6.6834728e-04
0.0880222      	6.6603525e-04
0.0880226      	6.6424412e-04
0.088023       	6.6300186e-04
0.0880233      	6.6231421e-04
0.0880237      	6.6217328e-04
0.0880241      	6.6255021e-04
0.0880245      	6.6341582e-04
0.0880249      	6.6473361e-04
0.0880253      	6.6645243e-04
0.0880256      	6.6851541e-04
0.088026       	6.7083774e-04
0.0880264      	6.7330887e-04
0.0880268      	6.7581059e-04
0.0880272      	6.7823133e-04
0.0880275      	6.8047404e-04
0.0880279      	6.8246387e-04
0.0880283      	6.8414125e-04
0.0880287      	6.8547375e-04
0.0880291      	6.8646098e-04
0.0880294      	6.8712039e-04
0.0880298      	6.8748748e-04
0.0880302      	6.8760104e-04
0.0880306      	6.8749864e-04
0.088031       	6.8720042e-04
0.0880313      	6.8672727e-04
0.0880317      	6.8610889e-04
0.0880321      	6.8537135e-04
0.0880325      	6.8454738e-04
0.0880329      	6.8368614e-04
0.0880332      	6.8284276e-04
0.0880336      	6.8208266e-04
0.088034       	6.8147976e-04
0.0880344      	6.8107446e-04
0.0880348      	6.8087204e-04
0.0880352      	6.8085645e-04
0.0880355      	6.8098536e-04
0.0880359      	6.8120654e-04
0.0880363      	6.8147186e-04
0.0880367      	6.8173665e-04
0.0880371      	6.8195780e-04
0.0880374      	6.8210044e-04
0.0880378      	6.8212767e-04
0.0880382      	6.8198224e-04
0.0880386      	6.8156813e-04
0.088039       	6.8077608e-04
0.0880393      	6.7956022e-04
