# Region type : patch wOutlet
# Faces  :     856
# Area   :     7.7968050e-05
# Time         	sum(phi)
0.088          	6.8221808e-04
0.0880001      	6.8221063e-04
0.0880005      	6.8217306e-04
0.0880009      	6.8212821e-04
0.0880013      	6.8207597e-04
0.0880016      	6.8201705e-04
0.088002       	6.8195267e-04
0.0880024      	6.8188376e-04
0.0880028      	6.8181077e-04
0.0880032      	6.8173430e-04
0.0880035      	6.8165485e-04
0.0880039      	6.8157282e-04
0.0880043      	6.8148874e-04
0.0880047      	6.8140298e-04
0.0880051      	6.8131643e-04
0.0880055      	6.8123018e-04
0.0880058      	6.8114531e-04
0.0880062      	6.8106273e-04
0.0880066      	6.8098355e-04
0.088007       	6.8090917e-04
0.0880074      	6.8084087e-04
0.0880077      	6.8077955e-04
0.0880081      	6.8072547e-04
0.0880085      	6.8068019e-04
0.0880089      	6.8064544e-04
0.0880093      	6.8062263e-04
0.0880096      	6.8061276e-04
0.08801        	6.8061663e-04
0.0880104      	6.8063485e-04
0.0880108      	6.8066758e-04
0.0880112      	6.8071456e-04
0.0880115      	6.8077512e-04
0.0880119      	6.8084846e-04
0.0880123      	6.8093377e-04
0.0880127      	6.8103028e-04
0.0880131      	6.8113689e-04
0.0880134      	6.8125244e-04
0.0880138      	6.8137608e-04
0.0880142      	6.8150705e-04
0.0880146      	6.8164458e-04
0.088015       	6.8178739e-04
0.0880154      	6.8193377e-04
0.0880157      	6.8208186e-04
0.0880161      	6.8222977e-04
0.0880165      	6.8237508e-04
0.0880169      	6.8251514e-04
0.0880173      	6.8264749e-04
0.0880176      	6.8276986e-04
0.088018       	6.8288052e-04
0.0880184      	6.8297798e-04
0.0880188      	6.8306115e-04
0.0880192      	6.8312915e-04
0.0880195      	6.8318138e-04
0.0880199      	6.8321711e-04
0.0880203      	6.8323558e-04
0.0880207      	6.8323666e-04
0.0880211      	6.8322007e-04
0.0880214      	6.8318568e-04
0.0880218      	6.8313391e-04
0.0880222      	6.8306574e-04
0.0880226      	6.8298242e-04
0.088023       	6.8288482e-04
0.0880233      	6.8277427e-04
0.0880237      	6.8265275e-04
0.0880241      	6.8252290e-04
0.0880245      	6.8238809e-04
0.0880249      	6.8225210e-04
0.0880253      	6.8211852e-04
0.0880256      	6.8199033e-04
0.088026       	6.8186993e-04
0.0880264      	6.8175965e-04
0.0880268      	6.8166135e-04
0.0880272      	6.8157606e-04
0.0880275      	6.8150469e-04
0.0880279      	6.8144788e-04
0.0880283      	6.8140636e-04
0.0880287      	6.8138100e-04
0.0880291      	6.8137222e-04
0.0880294      	6.8137970e-04
0.0880298      	6.8140258e-04
0.0880302      	6.8143982e-04
0.0880306      	6.8149088e-04
0.088031       	6.8155509e-04
0.0880313      	6.8163227e-04
0.0880317      	6.8172194e-04
0.0880321      	6.8182327e-04
0.0880325      	6.8193529e-04
